"Connector Name","Connector Description","Tables","Data collection rule support","Supported by"
"1Password (Serverless)","The 1Password CCF connector allows the user to ingest 1Password Audit, Signin & ItemUsage events into Microsoft Sentinel.","OnePasswordEventLogs_CL","FALSE","1Password"
"1Password (using Azure Functions)","The 1Password solution for Microsoft Sentinel enables you to ingest sign-in attempts, item usage, and audit events from your 1Password Business account using the 1Password Events Reporting API . This allows you to monitor and investigate events in 1Password in Microsoft Sentinel along with the other applications and services your organization uses. Underlying Microsoft Technologies used: This solution depends on the following technologies, and some of which may be in Preview state or may incur additional ingestion or operational costs: - Azure Functions","OnePasswordEventLogs_CL","FALSE","1Password"
"AbnormalSecurity (using Azure Function)","The Abnormal Security data connector provides the capability to ingest threat and case logs into Microsoft Sentinel using the Abnormal Security Rest API.","ABNORMAL_THREAT_MESSAGES_CL; ABNORMAL_CASES_CL","FALSE","Abnormal Security"
"AIShield","AIShield connector allows users to connect with AIShield custom defense mechanism logs with Microsoft Sentinel, allowing the creation of dynamic Dashboards, Workbooks, Notebooks and tailored Alerts to improve investigation and thwart attacks on AI systems. It gives users more insight into their organization's AI assets security posturing and improves their AI systems security operation capabilities.AIShield.GuArdIan analyzes the LLM generated content to identify and mitigate harmful content, safeguarding against legal, policy, role based, and usage based violations","AIShield_CL","FALSE","AIShield"
"Alibaba Cloud ActionTrail (via Codeless Connector Framework) (Preview)","The Alibaba Cloud ActionTrail data connector provides the capability to retrieve actiontrail events stored into Alibaba Cloud Simple Log Service and store them into Microsoft Sentinel through the SLS REST API . The connector enables event retrieval to assess potential security risks, monitor collaboration, and diagnose and troubleshoot configuration issues.","AliCloudActionTrailLogs_CL","FALSE","Microsoft Corporation"
"AliCloud (using Azure Functions)","The AliCloud data connector provides the capability to retrieve logs from cloud applications using the Cloud API and store events into Microsoft Sentinel through the REST API . The connector enables event retrieval to assess potential security risks, monitor collaboration, and diagnose and troubleshoot configuration issues.","AliCloud_CL","FALSE","Microsoft Corporation"
"Amazon Web Services","Instructions to connect to AWS and stream your CloudTrail logs into Microsoft Sentinel are shown during the installation process. For more information, see the Microsoft Sentinel documentation .","AWSCloudTrail","FALSE","Microsoft Corporation"
"Amazon Web Services CloudFront (via Codeless Connector Framework) (Preview)","This data connector enables the integration of AWS CloudFront logs with Microsoft Sentinel to support advanced threat detection, investigation, and security monitoring. By utilizing Amazon S3 for log storage and Amazon SQS for message queuing, the connector reliably ingests CloudFront access logs into Microsoft Sentinel","AWSCloudFront_AccessLog_CL","FALSE","Microsoft Corporation"
"Amazon Web Services NetworkFirewall (via Codeless Connector Framework)","This data connector allows you to ingest AWS Network Firewall logs into Microsoft Sentinel for advanced threat detection and security monitoring. By leveraging Amazon S3 and Amazon SQS, the connector forwards network traffic logs, intrusion detection alerts, and firewall events to Microsoft Sentinel, enabling real-time analysis and correlation with other security data","AWSNetworkFirewallFlow","FALSE","Microsoft Corporation"
"Amazon Web Services S3","This connector allows you to ingest AWS service logs, collected in AWS S3 buckets, to Microsoft Sentinel. The currently supported data types are: * AWS CloudTrail * VPC Flow Logs * AWS GuardDuty * AWSCloudWatch For more information, see the Microsoft Sentinel documentation .","AWSGuardDuty; AWSVPCFlow; AWSCloudTrail; AWSCloudWatch","FALSE","Microsoft Corporation"
